estacao,horarioestacao,horariobilheteria,logradouro,numero,bairro,latitude,longitude
31 de Outubro,04h a 01h,05h às 21h,Avenida Cesário de Melo,11443,Paciência,-22.918235,-43.639033
Alvorada Terminal,24h,24h,Avenida das Américas,5300,Barra da Tijuca,-23.000455,-43.366098
Americas Park,04h à 01h,06h às 22h,Avenida das Américas,7837,Barra da Tijuca,-23.000424,-43.389816
Ana Gonzaga,04h a 01h,05h às 21h,Avenida Cesário de Melo,6318,Inhoaiba,-22.911327,-43.589747
Benvindo de Novaes,04h à 01h,06h às 22h,Avenida das Américas,15799,Recreio dos Bandeirantes,-23.014387,-43.466712
Bosque da Barra,04h à 01h,06h às 22h,Avenida das Américas,6455,Barra da Tijuca,-23.000315,-43.377483
CTEx.,24h,06h ás 22h,Avenida das Américas,,Barra de Guaratiba,-23.005245,-43.558382
Cajueiros,04h a 01h,04h às 20h,Rua Felipe Cardoso,1985,Santa Cruz,-22.930834,-43.673448
Cesarinho,24h,05h às 21h,Avenida Cesário de Melo,12100,Santa Cruz,-22.920442,-43.643513
Cesarão I,04h à 01h,,Avenida Cesário de Melo,14112,Santa Cruz,-22.934584,-43.665316
Cesarão II,24h,05h às 21h,Avenida Cesário de Melo,13612,Santa Cruz,-22.933423,-43.661956
Cesarão III,24h,05h às 21h,Avenida Cesário de Melo,13152,Santa Cruz,-22.931732,-43.657254
Cosmos,04h a 01h,05h às 21h,Avenida Cesário de Melo,8961,Cosmos,-22.915651,-43.616081
Curral Falso,24h,04h às 20h,Estrada da Pedra,,Santa Cruz,-22.936553,-43.666918
Cândido Magalhães,24h,05h às 21h,Avenida Cesário de Melo,3381,Campo Grande,-22.907696,-43.564070
Dom Bosco,04h à 01h,06h às 22h,Avenida das Américas,20700,Recreio dos Bandeirantes,-23.018217,-43.509009
Embrapa,04h á 01h,06h às 22h,Avenida das Américas,,Guaratiba,-22.999606,-43.582270
Gastão Rangel,24h,04h às 20h,Rua Felipe Cardoso,,Santa Cruz,-22.907529,-43.575803
Gelson Fonseca,04h à 01h,06h às 22h,Avenida das Américas,13820,Recreio dos Bandeirantes,-23.009781,-43.448692
General Olímpio,04h a 01h,04h às 20h,Rua Felipe Cardoso,802,Santa Cruz,-22.922244,-43.679626
Gilka Machado,04h à 01h,06h às 22h,Avenida das Américas,16699,Recreio dos Bandeirantes,-23.017020,-43.477030
Gláucio Gil,24h,24h,Avenida das Américas,15015,Recreio dos Bandeirantes,-23.012395,-43.458939
Golfe Olímpico,,,Avenida das Américas,10101,Barra da Tijuca,-23.000043,-43.412234
Gramado,24h,05h às 21h,Rua Gramado,33,Campo Grande,-22.904444,-43.570607
Guignard,04h à 01h,06h às 22h,Avenida das Américas,15000,Recreio dos Bandeirantes,-23.010806,-43.452662
Guiomar Novaes,24h,06h às 22h,Avenida das Américas,17655,Recreio dos Bandeirantes,-23.018446,-43.482635
Icurana,04h a 01h,05h às 21h,Avenida Cesário de Melo,7800,Cosmos,-22.915079,-43.605807
