Bairro,Local,Referência,Número,latitude,longitude
Acari,Em frente ao hospital de Acari,Avenida Brasil,10972,"-22.825905","-43.347886"
Água Santa,Campo da Conceição,Rua Carandá,299,"-22.904650","-43.313442"
Água Santa,Praça,Rua Violeta,189,"-22.906600","-43.307580"
Alto da Boa Vista,Praça Afonso Viseu,Estrada de Furnas,1467,"-22.961111","-43.273333"
Anchieta,Praça Granito,Avenida Cipriano Barata,,"-22.832778","-43.404722"
Anchieta,Praça Manuel Taveira de Miranda,,,"-22.835127","-43.412595"
Andaraí,Conjunto Tijolinho,Rua Barão de Mesquita,,"-22.924059","-43.252134"
Arpoador,Garota de Ipanema,Rua Francisco Otaviano,,"-22.988056","-43.191389"
Bairro de Fátima,Praça Presidente Aguirre Cerda Avenida,,,"-22.917725","-43.188303"
Bangu,Praça Carlos Lamarca,Rua Antônio Carlos Bicalho Lana,,"-22.859697","-43.467760"
Bangu,Praça do Aviador,Rua do Magistrado,,"-22.870672","-43.479386"
Bangu,Praça Miguel Pedro,Rua da Usina,,"-22.885173","-43.462746"
Bangu,Praça Nova Jales,Rua Sidney,,"-22.874707","-43.456057"
Bangu,Praça Sérgio Apolinário,Rua José Vilela,,"-22.883608","-43.454448"
Barra da Tijuca,Parque dos Atletas,Avenida Salvador Allende,,"-22.980086","-43.407437"
Barra da Tijuca,Praça São Marcos,Avenida Adolpho de Vasconcellos,,"-23.005682","-43.429362"
Benfica,Conjunto Ex-Combatentes,Rua Baependi,,"-22.884310","-43.251624"
Bento Ribeiro,Praça Managuá,Rua Antônio Raposo,,"-22.861263","-43.363896"
Botafogo,Praça Corumbá,Rua São Clemente,298,"-22.950352","-43.192484"
Botafogo,Praça Engenheiro Bernardo Sayão,Alameda Embaixador Sanchez Gavito,,"-22.953444","-43.179220"
Botafogo,Praça Mauro Duarte,Rua General Polidoro,20,"-22.953527","-43.183262"
Botafogo,Praça Nelson Mandela,Rua Nelson Mandela,109,"-22.950604","-43.184333"
Brás de Pina,Conjunto Guaporé,Rua Carbonita,39,"-22.834328","-43.293378"
Brás de Pina,Praça Anhangabaúba,Rua Tiboim,19,"-22.830593","-43.285549"
Cachambi,Conjunto Habitacional IAPC Cachambi,Rua Henrique de Vasconcelos,55,"-22.891947","-43.267123"
Campinho,Praça Márcia Mendes,Rua Pinto Teles,1100,"-22.883940","-43.354546"
Campo Grande,Praça Camirang,Rua Curiuva,,"-22.909632","-43.535070"
Campo Grande,Praça Congonha do Norte,Rua Coronel Daniel Cristovão,,"-22.930191","-43.565105"
Campo Grande,Praça do Conjunto Santa Rita,Rua Campo Maior,,"-22.906291","-43.538986"
Campo Grande,Praça Guilhobel,Rua Francisco Mota,,"-22.905318","-43.543964"
Campo Grande,Praça Inonimada,Rua Sucupira Amarelo,,"-22.927103","-43.562745"
Campo Grande,Praça João Vitta,Rua Paulo Sergio,368,"-22.886198", -43.546345"
Campo Grande,Praça Maximiliano,Rua Carobinha,,"-22.849518","-43.532572"
Campo Grande,Praça Moacyr Sreder Bastos,Estrada Santa Maria,,"-22.893651","-43.584604"
Campo Grande,Praça Narciso Luzes,Rua Raul Pedroza,,"-22.913145","-43.582772"
Campo Grande,Praça Votorantin,Rua Votorantin,58,"-22.858611","-43.538333"
Cascadura,Praça Nossa Senhora do Amparo,Avenida Dom Helder Câmara,,"-22.881664","-43.324792"
Catete,Largo do Machado,Rua do Catete,,"-22.930687", "-43.177954"
Catumbi,Conjunto Ferro de Engomar,Rua Doutor Agra,,"-22.919865","-43.195062"
Cavalcanti,Praça Herculano Pena,Rua Graça Melo,,"-22.873619","-43.313882"
Centro,Praça Cruz Vermelha,Avenida Mem de Sá,,"-22.911952","-43.188276"
Coelho Neto,Praça Professora Virgínia Cidade,Avenida Pastor Martin Luther King Junior,,"-22.830974","-43.345115"
Copacabana,Praça do Lido,Rua Ronald de Carvalho,,"-22.965691","-43.176235"
Copacabana,Praça Edmundo Bitencourt,Rua Décio Vilares,,"-22.966746","-43.190347"
Copacabana,Praça Serzedelo Correia,Rua Siqueira Campos,,"-22.969104","-43.183619"
Copacabana,Princesa Isabel,Avenida Princesa Isabel,263,"-22.962688","-43.174819"
Cordovil,Praça Vereador Luiz Carlos Aguiar,Rua Cordovil,,"-22.823053","-43.308275"
Cosmos,Conjunto Trento,Avenida Cesário de Melo,9300,,"-22.914929","-43.619050"
Cosmos,Praça Amaury Francisco Cardoso,Rua Tupassi,,"-22.890149","-43.599584"
Cosmos,Praça dos Escolares,Rua Curaré,,"-22.907487","-43.613915"
Cosmos,Praça Vilar Carioca,Rua Realeza,,"-22.919860","-43.601969"
Engenho de Dentro,Mini Vila Olímpia,Rua Goiás,188,"",""
Engenho de Dentro,SPA da Loucura,Rua Ramiro Magalhães,521,"-22.901296","-43.300317"
Engenho de Dentro,Centro Municipal de Saúde Milton Fontes Magarao,Rua Curupaiti,,"-22.896631","-43.289489"
Estácio,Praça Doutor Roberto Campos,Rua João Paulo I,,"-22.913562","-43.207410"
Flamengo,Praça Cuauhtémoque,Praia do Flamengo,,"-22.938265","-43.173431"
Freguesia,Praça Joaquim Sizino Rocha,Rua Aracy de Almeida,,"-22.948939","-43.349908"
Gamboa,Praça da Harmonia,Rua Pedro Ernesto,,"-22.895553","-43.191728"
Glória,Parque do Flamengo,Avenida Infante Dom Henrique,,"",""
Glória,Praça Luis Camões,Rua do Russel,,"-22.921270","-43.174285"
Grajaú,Praça Edmundo Rego,Avenida Júlio Furtado,,"-22.922449","-43.264284"
