ç
Bairro,Estação,Código,Endereço,Número,Latitude,Longitude
Botafogo,Botafogo Praia Shopping,49,Praia de Botafogo,400,"-22.947811","-43.182565"
Botafogo,Marquês de Abrantes,53,Praia de Botafogo,154,"-22.941307","-43.178827"
Botafogo,Metrô Botafogo,48,Rua Nelson Mandela,100,"-22.950731","-43.184158"
Botafogo,Rio Sul,50,Praça Juliano Moreira,,"-22.955632","-43.177746"
Botafogo,Rua da Passagem,54,Rua da Passagem,,"-22.953135"," -43.181889"
Botafogo,Santa Marta,51,Praça Corumbá,,"-22.950396","-43.192674"
Botafogo,UFRJ Praia Vermelha,57,Avenida Venceslau Brás,65,"-22.952844","-43.176380"
Botafogo,Voluntários da Pátria,55,Rua Voluntários da Pátria,150,"-22.952093","-43.186622"
Catete,Largo do Machado,40,Rua do Catete,,"-22.930491","-43.178070"
Centro,Cinelândia,59,Avenida Rio Branco,257,"-22.911632","-43.175359"
Centro,Praça XV,60,Praça XV,,"-22.902709","-43.172942"
Copacabana,Cantagalo,01,Praça Eugênio Jardim,,"-22.976582","-43.193798"
Copacabana,Cardeal Arco Verde,02,Praça Cardeal Arco Verde,,"-22.964808","-43.180451"
Copacabana,Copacabana Palace,20,Avenida Atlântica,1588,"-22.967211","-43.177757"
Copacabana,Dias da Rocha,22,Rua Dias da Rocha,12,"-22.972984","-43.188735"
Copacabana,Miguel Lemos,03,Avenida Atlântica,,"-22.978508","-43.188951"
Copacabana,Posto 6,04,Avenida Atlântica,4230,"-22.986029","-43.188637"
Copacabana,Princesa Isabel,05,Avenida Princesa Isabel,1020,"-22.964670","-43.173120"
Copacabana,Sá Ferreira,21,Rua Sá Ferreira,219,"-22.981945","-43.195028"
Copacabana,Santa Clara,06,Avenida Atlântica,,"-22.973221","-43.185881"
Copacabana,Serzedelo Correa,23,Rua Hilário de Gouvêia,36,"-22.968846","-43.183772"
Copacabana,Siqueira Campos,07,Rua Figueiredo Magalhães,,"-22.967653","-43.187681"
Copacabana,Túnel Novo,15,Praça Demétrio Ribeiro,,"-22.961994","-43.175454"
Flamengo,Ferreira Viana,45,Praia do Flamengo,122,"-22.929137","-43.174136"
Flamengo,Morro da Viúva,44,Avenida Rui Barbosa,170,"-22.938791","-43.171120"
Gávea,Baixo Gávea,34,Praça Santos Dumont,40,"-22.973216","-43.225840"
Gávea,Praça Sibélius,30,Avenida Rodrigo Otávio,389,"-22.977581","-43.226410"
Gávea,Shopping da Gávea,16,Avenida Marquês de São Vicente,,"-22.975704","-43.228306"
Gávea,Terminal PUC,14,Avenida Vice-Governador Rubens Berardo,,"-22.978796","-43.229874"
Humaitá,Cobal,47,Rua Humaitá,19,"-22.954186","-43.196806"
Humaitá,Humaitá,17,Rua Humaitá,275,"-22.959859","-43.202136"
Ipanema,Aníbal de Mendonça,08,Avenida Vieira Souto,610,"-22.986010","-43.211535"
Ipanema,General Osório,09,Rua Visconde de Pirajá,66,"-22.984694","-43.197454"
Ipanema,Maria Quitéria,13,Avenida Epitácio Pessoa,1724,"-22.981886","-43.206922"
Ipanema,Pedra do Arpoador,25,Avenida Francisco Bhering,,"-22.989112","-43.191411"
Ipanema,Posto 9,26,Avenida Vieira Souto,234,"-22.986736","-43.200900"
Jardim Botânico,Maria Angélica,35,Rua Alexandre Ferreira,195,"-22.962167","-43.207581"
Jardim Botânico,Pacheco Leão - Horto,38,Rua Pacheco Leão,915,"-22.965316","-43.227944"
Jardim Botânico,Pacheco Leão,36,Rua Pacheco Leão,320,"-22.965208","-43.222408"
Lagoa,Borges de Medeiros,11,Avenida Borges de Medeiros, 2301,"-22.968008","-43.217319"
Lagoa,Caiçaras,31,Avenida Epitácio Pessoa,698,"-22.980204","-43.213102"
Lagoa,Epitácio Pessoa 4224,33,Avenida Epitácio Pessoa,4560,"-22.969564","-43.205821"
Lagoa,Epitácio Pessoa,12,Avenida Epitácio Pessoa,1952,"-22.978819","-43.201134"
Lagoa,Vasco da Gama,37,Avenida Borges de Medeiros,,"-22.962941","-43.209647"
Laranjeiras,Pereira da Silva,41,Rua das Laranjeiras,206,"-22.933238","-43.185608"
Leblon,Cine Leblon,29,Rua Fadel Fadel,54,"-22.981303","-43.221076"
Leblon,José Linhares,19,Avenida Delfim Moreira,514,"-22.986715","-43.220958"
Leblon,Largo da Memória,18,Avenida Bartolomeu Mitre,824,"-22.979712","-43.223848"
Leblon,Praça Cazuza,28,Avenida Ataulfo de Paiva,12,"-22.986091","-43.228549"
Leblon,Visconde de Albuquerque,27,Rua Aristides Espínola,1,"-22.987742","-43.226399"
Madureira,Soares Caldeira,401,Rua Soares Caldeira,,"-22.870111","-43.340223"
São Conrado,Largo do Boiadeiro,43,Auto-estrada Lagoa-Barra,,"-22.992631","-43.251361"
São Conrado,Praça São Conrado,46,Avenida Prefeito Mendes de Morais,1400,"-23.000163","-43.270643"
Turiaçu,Bernardino Andrade,404,Rua Bernardino Andrade,,"-22.862032","-43.346778"
Turiaçu,Manoel Marquês,402,Rua Manoel Marquês,,"-22.868428","-43.341486"
Urca,Avenida Portugal,58,Rua Urbano Santos,40,"-22.952961","-43.168966"
Urca,Pão-de-Açucar,56,Praça Genaral Tibúrcio,,"-22.954865","-43.165550"
