CNES,CNPJ,RAZAOSOCIAL,NOMEDEFANTASIA,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,TELEFONE,FAX,EMAIL,LATITUDE,LONGITUDE,DATAATUALIZACAOCOORDENADAS,CODIGODAATIVIDADE,ATIVIDADEDEENSINO,TIPODAUNIDADE,TIPODEESTABELECIMENTO,CODIGODANATUREZAJURIDICA,DESCRICAODANATUREZAJURIDICA
7673329,,AFRANIO OLAVO D SILVA PINTO,AFRANIO OLAVO D SILVA PINTO,RUA SOROCABA,477,SALA 603,BOTAFOGO,22271110,2266-5044,2266-5044,marcus@mvvm.com.br,"-22.954168","-43.18944970000001",10/02/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7589719,,ALDA BEZERRA DE LIMA,ALDA BEZERRA DE LIMA,LARGO DO MACHADO,29,SALA 517,CATETE,22220020,,,mcalmeida@openlink.com.br,"-22.930324","-43.17765639999999",24/09/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7697945,,ANA PAULA CASSETTA DOS SANTOS NUCERA,ANA PAULA CASSETTA DOS SANTOS NUCERA,RUA GUARAPARI,41,SALA 404,MADUREIRA,21351120,24881110,,anacassetta@yahoo.com.br,"-22.8703558","-43.34190890000002",16/03/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7291604,,ANA PAULA TAVARES DE SOUZA,ANA PAULA TAVARES DE SOUZA,RUA DOUTOR PACHE DE FARIA,21,SALA 201,MEIER,20710020,21 32877728,,aptsouza@gmail.com,"-22.9036687","-43.2771509",30/06/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7316976,07769966000137,ANDRADE ZEQUE CLINICAS ASSOCIADAS LTDA,ANDRADE ZEQUE CLINICAS ASSOCIADAS,AVENIDA DAS AMERICAS,4200,BL 7 SALA 203B,BARRA DA TIJUCA,22640102,02131503264,,NCA_CONSULTORES@TERRA.COM.BR,"-23.0010245","-43.3859292",09/08/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2240,SOCIEDADE SIMPLES LIMITADA
7339356,,ANDRE COSTA LEITE,ANDRE COSTA LEITE,RUA MEXICO,31,SALA 1101,CENTRO,20031141,72361801,,andre_leite@superig.com.br,"-22.8703388","-43.34194020000001",24/02/2015,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,4000,PESSOA FISICA
7222629,10925271000101,BROWNE DE PAULA DENTISTAS ASSOCIADOS LTDA,BROWNE DE PAULA DENTISTAS ASSOCIADOS,RUA DEBRET,23,GRUPO 503,CENTRO,20030080,22409661,35492524,liliani@brownedepaula.com.br,"-22.9073688","-43.174218",09/04/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
3164896,02466430000129,CEDIR CENTRO DE DIAGNOSTICOS AVANCADOS RECREIO LTDA,CEDIR CENTRO DE DIAGNOSTICOS AVANCADOS RECREIO SHOPPING,AV. DAS AMERICAS,19019,SALA 370,RECREIO,22790701,2124900220,2124900266,cedir@cedirrecreio.com,"-22.9664957","-43.644047099999966",25/02/2014,04,UNIDADE SEM ATIVIDADE DE ENSINO,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),2062,SOCIEDADE EMPRESARIA LIMITADA
7023685,09656776000139,CENTRO CAD CENTRO CARIOCA DE ALERG DERMATO E SERV MED LTDA,CENTRO CAD,RUA MARIZ DE BARROS,1001,SALA 509,TIJUCA,20270004,(21)2568-5289,(21)2568-5289,almerymonteiro@oi.com.br,"-22.917043440564416","-43.22302579879761",,04,UNIDADE SEM ATIVIDADE DE ENSINO,36,CLINICA/CENTRO DE ESPECIALIDADE,2240,SOCIEDADE SIMPLES LIMITADA
7183720,27001312000257,CENTRO DE INVESTIGACOES DIAGNOSTICAS,CENTRO DE INVESTIGACOES DIAGNOSTICAS,AVENIDA DAS AMERICAS,4790,SALA 328,BARRA DA TIJUCA,22640102,25381281,,www.cidmed.com.br,"-22.9994335","-43.35932",30/01/2013,04,UNIDADE SEM ATIVIDADE DE ENSINO,22,CONSULTORIO ISOLADO,2232,SOCIEDADE SIMPLES PURA
